Week id,Unit Volume,Price,TV Spend,Print Spend,Radio Spend,Paid Search Spend,Paid Social Spend,Shopper Marketing Spend,Non Trading Desk OLA Spend,Non Trading Desk OLV Spend,Trading Desk OLA Spend,Trading Desk OLV Spend,Email Spend,Linqia Spend,Linqia Shopper Spend,Digital FSI Spend,Newspaper FSI  Spend,WMX Spend
31,1183223,17.88,350694,0,0,76930,6681,4275,61949,2789,39982,0,1739,0,0,26900,7000,0
32,1319657,17.89,350694,0,0,79766,13200,14893,43041,2995,59138,0,1659,0,0,136400,120000,0
33,1508972,18.17,350694,0,0,78278,8365,11015,55221,2969,73653,0,6427,0,0,0,1850600,0
34,1440099,18.20,307995,0,0,81841,13908,27482,123354,2680,75420,0,4288,0,0,4300,121800,0
35,1449349,17.41,307995,0,0,82884,33391,33797,55485,3004,73120,0,2283,0,0,97600,0,0
36,1973181,17.57,307995,0,0,85753,17357,58302,61553,2928,75465,0,9570,0,0,109500,1984900,0
37,1702553,17.67,350694,0,0,84381,30101,83482,74565,2924,73654,0,7313,0,0,112300,0,0
38,1868477,18.19,350694,0,0,81481,16531,76627,113678,2889,93510,0,11113,0,0,133700,378200,6659
39,1968986,17.77,350694,0,0,67685,5311,70058,144558,2473,113447,0,8644,0,0,24800,1718100,12146
40,1415559,16.95,296766,0,0,74003,15000,39120,53516,175,92708,0,5325,0,0,18300,0,21663
41,1935254,17.68,296766,0,0,70992,20880,21811,64050,168,112623,0,5999,0,0,28700,2091700,23348
42,2003513,17.69,296766,0,193401,78560,14096,110155,70706,152,114741,0,619,0,0,163200,13900,24766
43,2217403,17.34,296766,0,193401,75057,17602,70075,63251,169,117786,0,10447,0,0,27700,2311600,24632
44,1731823,18.26,296766,0,193401,81861,6921,22681,54178,153,133908,0,11004,0,0,38800,0,41601
45,2279806,19.15,741915,0,193401,87260,28376,30174,73571,17327,173041,0,4175,0,0,216200,122200,26501
46,1744134,18.44,589482,11539,0,90526,14871,27183,117092,15052,179342,1944,12572,0,0,4400,0,28783
47,2624021,16.99,589482,11539,0,89930,15561,35880,113226,591,177309,4704,12012,0,0,21200,2629500,25469
48,1961116,18.35,589482,11539,193401,91960,23092,38039,102311,2531,178640,4852,7152,0,0,117600,159500,28030
49,2013274,18.58,544769,11539,193401,94647,0,90079,49648,0,193723,5771,2175,0,0,78300,0,27399
50,6622872,17.36,544769,11539,193401,99362,14875,58082,62385,0,186912,9571,15769,0,0,635800,2511000,35682
51,2966677,18.24,544769,24457,193401,97607,22596,50529,103208,0,191875,15934,4922,0,0,380600,0,33919
52,3307581,17.22,470483,24457,0,100676,11329,69868,65195,0,204262,18403,15403,0,0,79300,3188800,31598
53,1969701,17.89,334235,31576,0,69878,32684,75529,26433,2273,136325,30539,20149,0,11409,52300,0,29546
54,2048239,19.17,346389,31576,0,94435,10714,61589,32657,11738,93091,34790,9687,0,11543,36500,0,48839
55,2087730,18.34,346389,51733,89104,90831,24028,84751,58038,12452,89109,41704,12681,0,12171,53500,3600,33991
56,3471590,18.47,346389,33594,89104,81404,77558,91000,75114,12067,84985,31293,4479,0,8279,70900,0,118533
57,2986237,17.22,346389,35704,89104,74261,60558,111490,54537,3310,92029,55218,2815,0,440,39200,2293600,38930
58,2392058,18.35,385903,35704,89104,72172,12922,63946,73405,2730,94145,60247,3807,0,0,113700,1200,61493
59,3643317,17.63,385903,31094,0,71599,9109,68970,79000,3574,89960,71198,12643,0,0,398500,0,68839
60,2078551,17.96,385903,31094,0,76244,127576,48121,110303,3588,87970,67538,11881,0,0,74000,8200,56347
61,3119822,17.40,385903,42292,89104,87968,105725,72984,118053,15518,93382,64299,2812,0,0,156000,0,62226
62,3136811,18.22,333472,26745,89104,75568,0,89612,112925,10587,95670,48309,4028,0,0,117700,1730400,48808
63,2268510,18.71,333472,26745,89104,85562,123618,51540,100508,3216,95274,39224,3736,0,0,263100,0,30153
64,1977058,17.90,333472,46902,89104,92798,44357,84587,84389,2914,94841,38820,6506,0,0,0,0,21439
65,2058394,17.84,385903,31355,0,93774,70076,107142,115854,2465,93563,46907,3190,0,0,196500,0,27458
